	occupation
0.37378042936325073	administrator
0.2717239558696747	artist
0.27712032198905945	doctor
0.38104867935180664	educator
0.5331616401672363	engineer
-0.08348915725946426	entertainment
0.26147496700286865	executive
0.043770626187324524	healthcare
0.2386539727449417	homemaker
0.33787423372268677	lawyer
0.34505006670951843	librarian
0.13786345720291138	marketing
-0.013222357258200645	none
-0.027205482125282288	other
0.38680437207221985	programmer
0.14714230597019196	retired
0.32348594069480896	salesman
1.0	scientist
0.23400940001010895	student
0.40891018509864807	technician
0.3286854326725006	writer
